Date,State,Region,Consumption,latitude,longitude
2019-01-03,MP,WR,253.6,21.3004,76.13
2019-01-03,Maharashtra,WR,419.6,19.2502,73.1602
2019-01-03,Goa,WR,13.7,15.492,73.818
2019-01-03,DNH,WR,18.2,20.2666,73.0166
2019-01-03,"Andhra Pradesh",SR,170.1,14.7504,78.57
2019-01-03,Telangana,SR,204.5,18.1124,79.0193
2019-01-03,Karnataka,SR,212.2,12.5704,76.92
2019-01-03,Kerala,SR,73.6,8.90037,76.57
2019-01-03,"Tamil Nadu",SR,285.2,12.9204,79.15
2019-01-03,Pondy,SR,6.5,11.935,79.83
2019-01-03,Bihar,ER,82,25.7854,87.48
2019-01-03,Jharkhand,ER,25.6,23.8004,86.42
2019-01-03,Odisha,ER,67.9,19.8204,85.9
2019-01-03,"West Bengal",ER,110.2,22.5804,88.3299
2019-01-03,Sikkim,ER,1.9,27.3333,88.6166
2019-01-03,"Arunachal Pradesh",NER,2.2,27.1004,93.6166
2019-01-03,Assam,NER,23.4,26.75,94.2167
2019-01-03,Manipur,NER,2.4,24.8,93.95
2019-01-03,Meghalaya,NER,6.5,25.5705,91.88
2019-01-03,Mizoram,NER,1.8,23.7104,92.72
2019-01-03,Nagaland,NER,2.2,25.667,94.1166
2019-01-03,Tripura,NER,3.6,23.8354,91.28
2019-01-04,Punjab,NR,118.8,31.52,75.98
2019-01-04,Haryana,NR,128.2,28.45,77.02
2019-01-04,Rajasthan,NR,239.8,26.45,74.64
2019-01-04,Delhi,NR,83.5,28.67,77.23
2019-01-04,UP,NR,320.7,27.6,78.05
2019-01-04,Uttarakhand,NR,38.1,30.3204,78.05
2019-01-04,HP,NR,30.1,31.1,77.1666
2019-01-04,J&K,NR,53.2,33.45,76.24
2019-01-04,Chandigarh,NR,4.8,30.72,76.78
2019-01-04,Chhattisgarh,WR,74.8,22.0904,82.16
2019-01-04,Gujarat,WR,301.9,22.2587,71.1924
2019-01-04,MP,WR,239.3,21.3004,76.13
2019-01-04,Maharashtra,WR,395.8,19.2502,73.1602
2019-01-04,Goa,WR,12.6,15.492,73.818
2019-01-04,DNH,WR,16.7,20.2666,73.0166
2019-01-04,"Andhra Pradesh",SR,165.2,14.7504,78.57
2019-01-04,Telangana,SR,201.2,18.1124,79.0193
2019-01-04,Karnataka,SR,205.3,12.5704,76.92
2019-01-04,Kerala,SR,73.4,8.90037,76.57
2019-01-04,"Tamil Nadu",SR,270.3,12.9204,79.15
2019-01-04,Pondy,SR,6.4,11.935,79.83
2019-01-04,Bihar,ER,82.9,25.7854,87.48
2019-01-04,Jharkhand,ER,26.3,23.8004,86.42
2019-01-04,Odisha,ER,66.3,19.8204,85.9
2019-01-04,"West Bengal",ER,106.8,22.5804,88.3299
2019-01-04,Sikkim,ER,1.7,27.3333,88.6166
2019-01-04,"Arunachal Pradesh",NER,2.2,27.1004,93.6166
2019-01-04,Assam,NER,21.7,26.75,94.2167
2019-01-04,Manipur,NER,2.4,24.8,93.95
2019-01-04,Meghalaya,NER,6.3,25.5705,91.88
2019-01-04,Mizoram,NER,1.7,23.7104,92.72
2019-01-04,Nagaland,NER,2.2,25.667,94.1166
2019-01-04,Tripura,NER,3.5,23.8354,91.28
2019-01-05,Punjab,NR,121,31.52,75.98
2019-01-05,Haryana,NR,127.5,28.45,77.02
2019-01-05,Rajasthan,NR,239.1,26.45,74.64
2019-01-05,Delhi,NR,79.2,28.67,77.23
2019-01-05,UP,NR,299,27.6,78.05
2019-01-05,Uttarakhand,NR,39.2,30.3204,78.05
2019-01-05,HP,NR,30.2,31.1,77.1666
2019-01-05,J&K,NR,51.5,33.45,76.24
2019-01-05,Chandigarh,NR,4.3,30.72,76.78
2019-01-05,Chhattisgarh,WR,69,22.0904,82.16
2019-01-05,Gujarat,WR,313.2,22.2587,71.1924
2019-01-05,MP,WR,228.2,21.3004,76.13
2019-01-05,Maharashtra,WR,411.1,19.2502,73.1602
2019-01-05,Goa,WR,13,15.492,73.818
2019-01-05,DNH,WR,17.6,20.2666,73.0166
2019-01-05,"Andhra Pradesh",SR,167.4,14.7504,78.57
2019-01-05,Telangana,SR,201.7,18.1124,79.0193
2019-01-05,Karnataka,SR,212.4,12.5704,76.92
2019-01-05,Kerala,SR,75.4,8.90037,76.57
2019-01-05,"Tamil Nadu",SR,286.8,12.9204,79.15
2019-01-05,Pondy,SR,6.6,11.935,79.83
2019-01-05,Bihar,ER,77,25.7854,87.48
2019-01-05,Jharkhand,ER,23,23.8004,86.42
2019-01-05,Odisha,ER,65.8,19.8204,85.9
2019-01-05,"West Bengal",ER,107,22.5804,88.3299
2019-01-05,Sikkim,ER,2,27.3333,88.6166
2019-01-05,"Arunachal Pradesh",NER,2.2,27.1004,93.6166
2019-01-05,Assam,NER,22.5,26.75,94.2167
2019-01-05,Manipur,NER,2.7,24.8,93.95
2019-01-05,Meghalaya,NER,5.7,25.5705,91.88
2019-01-05,Mizoram,NER,1.8,23.7104,92.72
2019-01-05,Nagaland,NER,2.3,25.667,94.1166
2019-01-05,Tripura,NER,3.5,23.8354,91.28
2019-01-06,Punjab,NR,121.4,31.52,75.98
2019-01-06,Haryana,NR,132.6,28.45,77.02
2019-01-06,Rajasthan,NR,240.4,26.45,74.64
2019-01-06,Delhi,NR,76.6,28.67,77.23
2019-01-06,UP,NR,286.8,27.6,78.05
2019-01-06,Uttarakhand,NR,39.2,30.3204,78.05
2019-01-06,HP,NR,31,31.1,77.1666
2019-01-06,J&K,NR,53.2,33.45,76.24
2019-01-06,Chandigarh,NR,4.3,30.72,76.78
2019-01-06,Chhattisgarh,WR,68.1,22.0904,82.16
2019-01-06,Gujarat,WR,320.7,22.2587,71.1924
2019-01-06,MP,WR,227.4,21.3004,76.13
2019-01-06,Maharashtra,WR,408.6,19.2502,73.1602
2019-01-06,Goa,WR,12.9,15.492,73.818
2019-01-06,DNH,WR,18.6,20.2666,73.0166
2019-01-06,"Andhra Pradesh",SR,171.2,14.7504,78.57
2019-01-06,Telangana,SR,194.9,18.1124,79.0193
2019-01-06,Karnataka,SR,217.5,12.5704,76.92
2019-01-06,Kerala,SR,75.4,8.90037,76.57
2019-01-06,"Tamil Nadu",SR,298.3,12.9204,79.15
2019-01-06,Pondy,SR,7.2,11.935,79.83
2019-01-06,Bihar,ER,76.4,25.7854,87.48
2019-01-06,Jharkhand,ER,22.6,23.8004,86.42
2019-01-06,Odisha,ER,62.9,19.8204,85.9
2019-01-06,"West Bengal",ER,106.4,22.5804,88.3299
2019-01-06,Sikkim,ER,2,27.3333,88.6166
2019-01-06,"Arunachal Pradesh",NER,2.2,27.1004,93.6166
2019-01-06,Assam,NER,21.7,26.75,94.2167
2019-01-06,Manipur,NER,2.7,24.8,93.95
2019-01-06,Meghalaya,NER,6.2,25.5705,91.88
2019-01-06,Mizoram,NER,1.9,23.7104,92.72
2019-01-06,Nagaland,NER,2.3,25.667,94.1166
2019-01-06,Tripura,NER,3.3,23.8354,91.28
2019-01-07,Punjab,NR,118,31.52,75.98
2019-01-07,Haryana,NR,132.1,28.45,77.02
2019-01-07,Rajasthan,NR,241.9,26.45,74.64
2019-01-07,Delhi,NR,71.1,28.67,77.23
2019-01-07,UP,NR,294.2,27.6,78.05
2019-01-07,Uttarakhand,NR,40.1,30.3204,78.05
2019-01-07,HP,NR,30.1,31.1,77.1666
2019-01-07,J&K,NR,53.3,33.45,76.24
2019-01-07,Chandigarh,NR,4,30.72,76.78
2019-01-07,Chhattisgarh,WR,73.1,22.0904,82.16
2019-01-07,Gujarat,WR,319.4,22.2587,71.1924
2019-01-07,MP,WR,230.3,21.3004,76.13
2019-01-07,Maharashtra,WR,408.1,19.2502,73.1602
2019-01-07,Goa,WR,12.7,15.492,73.818
2019-01-07,DNH,WR,18.3,20.2666,73.0166
2019-01-07,"Andhra Pradesh",SR,166.4,14.7504,78.57
2019-01-07,Telangana,SR,191.9,18.1124,79.0193
2019-01-07,Karnataka,SR,217.4,12.5704,76.92
2019-01-07,Kerala,SR,74.9,8.90037,76.57
2019-01-07,"Tamil Nadu",SR,294.2,12.9204,79.15
2019-01-07,Pondy,SR,7,11.935,79.83
2019-01-07,Bihar,ER,75.3,25.7854,87.48
2019-01-07,Jharkhand,ER,23.9,23.8004,86.42
2019-01-07,Odisha,ER,64,19.8204,85.9
2019-01-07,"West Bengal",ER,109.3,22.5804,88.3299
2019-01-07,Sikkim,ER,1.5,27.3333,88.6166
2019-01-07,"Arunachal Pradesh",NER,2.2,27.1004,93.6166
2019-01-07,Assam,NER,21.4,26.75,94.2167
2019-01-07,Manipur,NER,2.5,24.8,93.95
2019-01-07,Meghalaya,NER,6.1,25.5705,91.88
2019-01-07,Mizoram,NER,1.8,23.7104,92.72
2019-01-07,Nagaland,NER,2.3,25.667,94.1166
2019-01-07,Tripura,NER,3.3,23.8354,91.28
2019-01-08,Punjab,NR,107.5,31.52,75.98
2019-01-08,Haryana,NR,121.4,28.45,77.02
2019-01-08,Rajasthan,NR,237.2,26.45,74.64
2019-01-08,Delhi,NR,69,28.67,77.23
2019-01-08,UP,NR,289.4,27.6,78.05
2019-01-08,Uttarakhand,NR,37,30.3204,78.05
2019-01-08,HP,NR,29.2,31.1,77.1666
2019-01-08,J&K,NR,51.2,33.45,76.24
2019-01-08,Chandigarh,NR,3.8,30.72,76.78
2019-01-08,Chhattisgarh,WR,74.2,22.0904,82.16
2019-01-08,Gujarat,WR,307.9,22.2587,71.1924
2019-01-08,MP,WR,228.8,21.3004,76.13
2019-01-08,Maharashtra,WR,398.2,19.2502,73.1602
2019-01-08,Goa,WR,10.9,15.492,73.818
2019-01-08,DNH,WR,18.1,20.2666,73.0166
2019-01-08,"Andhra Pradesh",SR,160.8,14.7504,78.57
2019-01-08,Telangana,SR,190.8,18.1124,79.0193
2019-01-08,Karnataka,SR,201,12.5704,76.92
2019-01-08,Kerala,SR,68.2,8.90037,76.57
2019-01-08,"Tamil Nadu",SR,279.2,12.9204,79.15
2019-01-08,Pondy,SR,6.5,11.935,79.83
2019-01-08,Bihar,ER,76.2,25.7854,87.48
2019-01-08,Jharkhand,ER,23.3,23.8004,86.42
2019-01-08,Odisha,ER,63.6,19.8204,85.9
2019-01-08,"West Bengal",ER,102.9,22.5804,88.3299
2019-01-08,Sikkim,ER,1.6,27.3333,88.6166
2019-01-08,"Arunachal Pradesh",NER,2.3,27.1004,93.6166
2019-01-08,Assam,NER,20.7,26.75,94.2167
2019-01-08,Manipur,NER,2.6,24.8,93.95
2019-01-08,Meghalaya,NER,6.2,25.5705,91.88
2019-01-08,Mizoram,NER,1.8,23.7104,92.72
2019-01-08,Nagaland,NER,2.1,25.667,94.1166
2019-01-08,Tripura,NER,3.3,23.8354,91.28
2019-01-09,Punjab,NR,132.5,31.52,75.98
2019-01-09,Haryana,NR,148.2,28.45,77.02
2019-01-09,Rajasthan,NR,197,26.45,74.64
2019-01-09,Delhi,NR,89.2,28.67,77.23
2019-01-09,UP,NR,258.6,27.6,78.05
2019-01-09,Uttarakhand,NR,35.9,30.3204,78.05
2019-01-09,HP,NR,25.3,31.1,77.1666
2019-01-09,J&K,NR,37.9,33.45,76.24
2019-01-09,Chandigarh,NR,3.9,30.72,76.78
2019-01-09,Chhattisgarh,WR,77.2,22.0904,82.16
2019-01-09,Gujarat,WR,260,22.2587,71.1924
2019-01-09,MP,WR,162.5,21.3004,76.13
2019-01-09,Maharashtra,WR,400.9,19.2502,73.1602
2019-01-09,Goa,WR,12.1,15.492,73.818
2019-01-09,DNH,WR,18,20.2666,73.0166
2019-01-09,"Andhra Pradesh",SR,163,14.7504,78.57
2019-01-09,Telangana,SR,167.5,18.1124,79.0193
2019-01-09,Karnataka,SR,173.6,12.5704,76.92
2019-01-09,Kerala,SR,67.9,8.90037,76.57
2019-01-09,"Tamil Nadu",SR,280.4,12.9204,79.15
2019-01-09,Pondy,SR,7.6,11.935,79.83
2019-01-09,Bihar,ER,56.4,25.7854,87.48
2019-01-09,Jharkhand,ER,19.2,23.8004,86.42
2019-01-09,Odisha,ER,86.6,19.8204,85.9
2019-01-09,"West Bengal",ER,131.7,22.5804,88.3299
2019-01-09,Sikkim,ER,1.1,27.3333,88.6166
2019-01-09,"Arunachal Pradesh",NER,2.1,27.1004,93.6166
2019-01-09,Assam,NER,25.8,26.75,94.2167
2019-01-09,Manipur,NER,2.3,24.8,93.95
2019-01-09,Meghalaya,NER,6,25.5705,91.88
2019-01-09,Mizoram,NER,1.7,23.7104,92.72
2019-01-09,Nagaland,NER,2.4,25.667,94.1166
2019-01-09,Tripura,NER,4.2,23.8354,91.28
2019-01-10,Punjab,NR,131.5,31.52,75.98
2019-01-10,Haryana,NR,157,28.45,77.02
2019-01-10,Rajasthan,NR,199.9,26.45,74.64
2019-01-10,Delhi,NR,92.8,28.67,77.23
2019-01-10,UP,NR,284.2,27.6,78.05
2019-01-10,Uttarakhand,NR,35.3,30.3204,78.05
2019-01-10,HP,NR,26.5,31.1,77.1666
2019-01-10,J&K,NR,31.7,33.45,76.24
2019-01-10,Chandigarh,NR,3.9,30.72,76.78
2019-01-10,Chhattisgarh,WR,79,22.0904,82.16
2019-01-10,Gujarat,WR,268.3,22.2587,71.1924
2019-01-10,MP,WR,159.6,21.3004,76.13
2019-01-10,Maharashtra,WR,409.7,19.2502,73.1602
2019-01-10,Goa,WR,12.1,15.492,73.818
2019-01-10,DNH,WR,17.8,20.2666,73.0166
2019-01-10,"Andhra Pradesh",SR,168.8,14.7504,78.57
2019-01-10,Telangana,SR,173.4,18.1124,79.0193
2019-01-10,Karnataka,SR,176,12.5704,76.92
2019-01-10,Kerala,SR,68.9,8.90037,76.57
2019-01-10,"Tamil Nadu",SR,290.8,12.9204,79.15
2019-01-10,Pondy,SR,7.9,11.935,79.83
2019-01-10,Bihar,ER,69.9,25.7854,87.48
2019-01-10,Jharkhand,ER,21.8,23.8004,86.42
2019-01-10,Odisha,ER,78.8,19.8204,85.9
2019-01-10,"West Bengal",ER,140.1,22.5804,88.3299
2019-01-10,Sikkim,ER,1.1,27.3333,88.6166
2019-01-10,"Arunachal Pradesh",NER,2.1,27.1004,93.6166
2019-01-10,Assam,NER,25.8,26.75,94.2167
2019-01-10,Manipur,NER,2.4,24.8,93.95
2019-01-10,Meghalaya,NER,6.2,25.5705,91.88
2019-01-10,Mizoram,NER,1.7,23.7104,92.72
2019-01-10,Nagaland,NER,2.1,25.667,94.1166
2019-01-10,Tripura,NER,4.3,23.8354,91.28
2019-01-11,Punjab,NR,130.3,31.52,75.98
2019-01-11,Haryana,NR,145.3,28.45,77.02
2019-01-11,Rajasthan,NR,187.7,26.45,74.64
2019-01-11,Delhi,NR,79.5,28.67,77.23
2019-01-11,UP,NR,281.4,27.6,78.05
2019-01-11,Uttarakhand,NR,30.1,30.3204,78.05
2019-01-11,HP,NR,23.9,31.1,77.1666
2019-01-11,J&K,NR,37.3,33.45,76.24
2019-01-11,Chandigarh,NR,3.4,30.72,76.78
2019-01-11,Chhattisgarh,WR,80.7,22.0904,82.16
2019-01-11,Gujarat,WR,275,22.2587,71.1924
2019-01-11,MP,WR,154.3,21.3004,76.13
2019-01-11,Maharashtra,WR,405.2,19.2502,73.1602
2019-01-11,Goa,WR,12.1,15.492,73.818
2019-01-11,DNH,WR,16.9,20.2666,73.0166
2019-01-11,"Andhra Pradesh",SR,167.7,14.7504,78.57
2019-01-11,Telangana,SR,166.7,18.1124,79.0193
2019-01-11,Karnataka,SR,157,12.5704,76.92
2019-01-11,Kerala,SR,67.4,8.90037,76.57
2019-01-11,"Tamil Nadu",SR,270.5,12.9204,79.15
2019-01-11,Pondy,SR,7.1,11.935,79.83
2019-01-11,Bihar,ER,76.2,25.7854,87.48
2019-01-11,Jharkhand,ER,23.3,23.8004,86.42
2019-01-11,Odisha,ER,78.4,19.8204,85.9
2019-01-11,"West Bengal",ER,149.8,22.5804,88.3299
2019-01-11,Sikkim,ER,0.8,27.3333,88.6166
2019-01-11,"Arunachal Pradesh",NER,2.1,27.1004,93.6166
2019-01-11,Assam,NER,27.9,26.75,94.2167
2019-01-11,Manipur,NER,2.4,24.8,93.95
2019-01-11,Meghalaya,NER,6.2,25.5705,91.88
2019-01-11,Mizoram,NER,1.8,23.7104,92.72
2019-01-11,Nagaland,NER,2.1,25.667,94.1166
2019-01-11,Tripura,NER,4.3,23.8354,91.28
2019-01-12,Punjab,NR,137.9,31.52,75.98
2019-01-12,Haryana,NR,151.9,28.45,77.02
2019-01-12,Rajasthan,NR,189.9,26.45,74.64
2019-01-12,Delhi,NR,92.6,28.67,77.23
2019-01-12,UP,NR,298.6,27.6,78.05
2019-01-12,Uttarakhand,NR,34.7,30.3204,78.05
2019-01-12,HP,NR,26.4,31.1,77.1666
2019-01-12,J&K,NR,34.6,33.45,76.24
2019-01-12,Chandigarh,NR,4,30.72,76.78
2019-01-12,Chhattisgarh,WR,85.2,22.0904,82.16
2019-01-12,Gujarat,WR,294.1,22.2587,71.1924
2019-01-12,MP,WR,161.1,21.3004,76.13
2019-01-12,Maharashtra,WR,421.8,19.2502,73.1602
2019-01-12,Goa,WR,12.2,15.492,73.818
2019-01-12,DNH,WR,17.6,20.2666,73.0166
2019-01-12,"Andhra Pradesh",SR,168.1,14.7504,78.57
2019-01-12,Telangana,SR,173.2,18.1124,79.0193
2019-01-12,Karnataka,SR,163.5,12.5704,76.92
2019-01-12,Kerala,SR,69.9,8.90037,76.57
2019-01-12,"Tamil Nadu",SR,298.4,12.9204,79.15
2019-01-12,Pondy,SR,8,11.935,79.83
2019-01-12,Bihar,ER,82.3,25.7854,87.48
2019-01-12,Jharkhand,ER,24.3,23.8004,86.42
2019-01-12,Odisha,ER,82.4,19.8204,85.9
2019-01-12,"West Bengal",ER,154.7,22.5804,88.3299
2019-01-12,Sikkim,ER,1,27.3333,88.6166
2019-01-12,"Arunachal Pradesh",NER,2.1,27.1004,93.6166
2019-01-12,Assam,NER,30.1,26.75,94.2167
2019-01-12,Manipur,NER,2.5,24.8,93.95
2019-01-12,Meghalaya,NER,6,25.5705,91.88
2019-01-12,Mizoram,NER,1.8,23.7104,92.72
2019-01-12,Nagaland,NER,2,25.667,94.1166
2019-01-12,Tripura,NER,4.6,23.8354,91.28
2019-01-13,Punjab,NR,135.8,31.52,75.98
2019-01-13,Haryana,NR,141.4,28.45,77.02
2019-01-13,Rajasthan,NR,186.9,26.45,74.64
2019-01-13,Delhi,NR,89.4,28.67,77.23
2019-01-13,UP,NR,310,27.6,78.05
2019-01-13,Uttarakhand,NR,36.7,30.3204,78.05
2019-01-13,HP,NR,26.4,31.1,77.1666
2019-01-13,J&K,NR,32.7,33.45,76.24
2019-01-13,Chandigarh,NR,3.8,30.72,76.78
2019-01-13,Chhattisgarh,WR,87.6,22.0904,82.16
2019-01-13,Gujarat,WR,301.2,22.2587,71.1924
2019-01-13,MP,WR,168.6,21.3004,76.13
2019-01-13,Maharashtra,WR,408.3,19.2502,73.1602
2019-01-13,Goa,WR,12.4,15.492,73.818
2019-01-13,DNH,WR,17.6,20.2666,73.0166
2019-01-13,"Andhra Pradesh",SR,164.9,14.7504,78.57
2019-01-13,Telangana,SR,176.9,18.1124,79.0193
2019-01-13,Karnataka,SR,162.4,12.5704,76.92
2019-01-13,Kerala,SR,72.4,8.90037,76.57
2019-01-13,"Tamil Nadu",SR,314.1,12.9204,79.15
2019-01-13,Pondy,SR,8.4,11.935,79.83
2019-01-13,Bihar,ER,87.7,25.7854,87.48
2019-01-13,Jharkhand,ER,24.8,23.8004,86.42
2019-01-13,Odisha,ER,84.3,19.8204,85.9
2019-01-13,"West Bengal",ER,155.3,22.5804,88.3299
2019-01-13,Sikkim,ER,1,27.3333,88.6166
2019-01-13,"Arunachal Pradesh",NER,2.1,27.1004,93.6166
2019-01-13,Assam,NER,30.1,26.75,94.2167
2019-01-13,Manipur,NER,2.5,24.8,93.95
2019-01-13,Meghalaya,NER,5.9,25.5705,91.88
2019-01-13,Mizoram,NER,1.8,23.7104,92.72
2019-01-13,Nagaland,NER,2.2,25.667,94.1166
2019-01-13,Tripura,NER,4.8,23.8354,91.28
2019-01-14,Punjab,NR,139.3,31.52,75.98
2019-01-14,Haryana,NR,143.8,28.45,77.02
2019-01-14,Rajasthan,NR,195.2,26.45,74.64
2019-01-14,Delhi,NR,82.2,28.67,77.23
2019-01-14,UP,NR,319.5,27.6,78.05
2019-01-14,Uttarakhand,NR,35.5,30.3204,78.05
2019-01-14,HP,NR,26.9,31.1,77.1666
2019-01-14,J&K,NR,37.6,33.45,76.24
2019-01-14,Chandigarh,NR,3.5,30.72,76.78
2019-01-14,Chhattisgarh,WR,89.6,22.0904,82.16
2019-01-14,Gujarat,WR,305.6,22.2587,71.1924
2019-01-14,MP,WR,170.7,21.3004,76.13
2019-01-14,Maharashtra,WR,406.3,19.2502,73.1602
2019-01-14,Goa,WR,12.4,15.492,73.818
2019-01-14,DNH,WR,18.5,20.2666,73.0166
2019-01-14,"Andhra Pradesh",SR,163.3,14.7504,78.57
2019-01-14,Telangana,SR,177,18.1124,79.0193
2019-01-14,Karnataka,SR,156.7,12.5704,76.92
2019-01-14,Kerala,SR,69.6,8.90037,76.57
2019-01-14,"Tamil Nadu",SR,305.9,12.9204,79.15
2019-01-14,Pondy,SR,8.3,11.935,79.83
2019-01-14,Bihar,ER,88.2,25.7854,87.48
2019-01-14,Jharkhand,ER,24.8,23.8004,86.42
2019-01-14,Odisha,ER,85.7,19.8204,85.9
2019-01-14,"West Bengal",ER,143.9,22.5804,88.3299
2019-01-14,Sikkim,ER,0.9,27.3333,88.6166
2019-01-14,"Arunachal Pradesh",NER,2.1,27.1004,93.6166
2019-01-14,Assam,NER,31.7,26.75,94.2167
2019-01-14,Manipur,NER,2.5,24.8,93.95
2019-01-14,Meghalaya,NER,5.4,25.5705,91.88
2019-01-14,Mizoram,NER,1.8,23.7104,92.72
2019-01-14,Nagaland,NER,2.1,25.667,94.1166
2019-01-14,Tripura,NER,5,23.8354,91.28
2019-01-15,Punjab,NR,141.1,31.52,75.98
2019-01-15,Haryana,NR,142.9,28.45,77.02
2019-01-15,Rajasthan,NR,185.4,26.45,74.64
2019-01-15,Delhi,NR,77.8,28.67,77.23
2019-01-15,UP,NR,326.7,27.6,78.05
2019-01-15,Uttarakhand,NR,34.3,30.3204,78.05
2019-01-15,HP,NR,25.6,31.1,77.1666
2019-01-15,J&K,NR,39.5,33.45,76.24
2019-01-15,Chandigarh,NR,3.2,30.72,76.78
2019-01-15,Chhattisgarh,WR,88,22.0904,82.16
2019-01-15,Gujarat,WR,290.5,22.2587,71.1924
2019-01-15,MP,WR,170.2,21.3004,76.13
2019-01-15,Maharashtra,WR,392.1,19.2502,73.1602
2019-01-15,Goa,WR,12.4,15.492,73.818
2019-01-15,DNH,WR,17.3,20.2666,73.0166
2019-01-15,"Andhra Pradesh",SR,160.7,14.7504,78.57
2019-01-15,Telangana,SR,174.3,18.1124,79.0193
2019-01-15,Karnataka,SR,138.7,12.5704,76.92
2019-01-15,Kerala,SR,64.2,8.90037,76.57
2019-01-15,"Tamil Nadu",SR,288.7,12.9204,79.15
2019-01-15,Pondy,SR,7.4,11.935,79.83
2019-01-15,Bihar,ER,93.7,25.7854,87.48
2019-01-15,Jharkhand,ER,24.8,23.8004,86.42
2019-01-15,Odisha,ER,82.1,19.8204,85.9
2019-01-15,"West Bengal",ER,143.4,22.5804,88.3299
2019-01-15,Sikkim,ER,0.7,27.3333,88.6166
2019-01-15,"Arunachal Pradesh",NER,2.2,27.1004,93.6166
2019-01-15,Assam,NER,29.2,26.75,94.2167
2019-01-15,Manipur,NER,2.5,24.8,93.95
2019-01-15,Meghalaya,NER,5.2,25.5705,91.88
2019-01-15,Mizoram,NER,1.7,23.7104,92.72
2019-01-15,Nagaland,NER,2.2,25.667,94.1166
2019-01-15,Tripura,NER,4.8,23.8354,91.28
2019-01-16,Punjab,NR,231.9,31.52,75.98
2019-01-16,Haryana,NR,180.5,28.45,77.02
2019-01-16,Rajasthan,NR,175.3,26.45,74.64
2019-01-16,Delhi,NR,111.8,28.67,77.23
2019-01-16,UP,NR,399,27.6,78.05
2019-01-16,Uttarakhand,NR,41,30.3204,78.05
2019-01-16,HP,NR,29.4,31.1,77.1666
2019-01-16,J&K,NR,41.8,33.45,76.24
2019-01-16,Chandigarh,NR,6,30.72,76.78
2019-01-16,Chhattisgarh,WR,89.2,22.0904,82.16
2019-01-16,Gujarat,WR,299.5,22.2587,71.1924
2019-01-16,MP,WR,185.1,21.3004,76.13
2019-01-16,Maharashtra,WR,377.1,19.2502,73.1602
2019-01-16,Goa,WR,11.3,15.492,73.818
2019-01-16,DNH,WR,18.9,20.2666,73.0166
2019-01-16,"Andhra Pradesh",SR,155.2,14.7504,78.57
2019-01-16,Telangana,SR,161.3,18.1124,79.0193
2019-01-16,Karnataka,SR,175.2,12.5704,76.92
2019-01-16,Kerala,SR,68.5,8.90037,76.57
2019-01-16,"Tamil Nadu",SR,301.4,12.9204,79.15
2019-01-16,Pondy,SR,7.6,11.935,79.83
2019-01-16,Bihar,ER,93.5,25.7854,87.48
2019-01-16,Jharkhand,ER,22.1,23.8004,86.42
2019-01-16,Odisha,ER,82.6,19.8204,85.9
